                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.82614,                0.46607,                 1.0479,                0.97846,                0.97941,                0.98536,                0.70965,                 1.1255,                0.43587,                 1.4092,             0.00021762,             0.00021762,             0.00021762
                    108,                0.82314,                0.47052,                 1.0504,                0.98195,                0.98393,                 0.9882,                0.71266,                 1.1208,                0.42775,                 1.4354,             0.00021652,             0.00021652,             0.00021652
                    109,                0.82182,                0.46237,                 1.0468,                0.97979,                0.97727,                0.98628,                0.71135,                 1.1272,                0.43413,                 1.4172,             0.00021542,             0.00021542,             0.00021542
                    110,                0.81871,                0.46032,                 1.0485,                0.97946,                0.97589,                0.98752,                0.71142,                 1.1305,                 0.4364,                 1.4247,             0.00021432,             0.00021432,             0.00021432
                    111,                 0.8223,                0.46827,                 1.0464,                0.97985,                 0.9773,                0.98639,                0.70669,                 1.1439,                0.43871,                 1.4119,             0.00021322,             0.00021322,             0.00021322
                    112,                 0.8221,                0.47723,                 1.0484,                0.97307,                0.97925,                0.98596,                0.71647,                 1.1324,                0.44199,                 1.4147,             0.00021212,             0.00021212,             0.00021212
                    113,                0.81886,                0.46766,                 1.0442,                0.96784,                0.98381,                0.98593,                0.71088,                 1.1363,                0.43661,                 1.4105,             0.00021102,             0.00021102,             0.00021102
                    114,                0.81309,                0.46269,                 1.0433,                0.97518,                0.98086,                0.98822,                0.70793,                  1.144,                0.43558,                  1.441,             0.00020992,             0.00020992,             0.00020992
                    115,                0.81293,                0.46312,                 1.0409,                 0.9803,                0.97926,                0.98773,                0.71038,                 1.1364,                0.43898,                 1.4323,             0.00020882,             0.00020882,             0.00020882
                    116,                0.80157,                0.45616,                 1.0368,                0.97823,                0.98122,                0.98798,                0.71037,                 1.1329,                0.42896,                 1.4361,             0.00020773,             0.00020773,             0.00020773
                    117,                0.80115,                0.45374,                 1.0422,                0.97336,                0.98185,                0.98781,                0.70737,                  1.143,                0.43682,                 1.4287,             0.00020663,             0.00020663,             0.00020663
                    118,                 0.7977,                0.45711,                 1.0368,                0.98125,                0.98304,                0.98898,                0.70589,                 1.1359,                0.43202,                 1.4199,             0.00020553,             0.00020553,             0.00020553
                    119,                0.80148,                0.45347,                 1.0363,                 0.9773,                0.98148,                0.98805,                0.71335,                  1.122,                0.42879,                 1.4101,             0.00020443,             0.00020443,             0.00020443
                    120,                0.80339,                0.45989,                 1.0348,                0.97559,                0.98022,                0.98749,                0.70627,                 1.1355,                0.43635,                 1.4079,             0.00020333,             0.00020333,             0.00020333
                    121,                0.79373,                0.45082,                 1.0295,                 0.9688,                0.98436,                  0.989,                0.70836,                 1.1573,                0.43736,                 1.4363,             0.00020223,             0.00020223,             0.00020223
                    122,                0.78714,                0.44975,                 1.0329,                0.97636,                0.98079,                0.98854,                0.71088,                 1.1401,                0.43606,                 1.4357,             0.00020113,             0.00020113,             0.00020113
